user_id,date_week,requests_count
39ab7722,2022-07-11 00:00:00,1
39a3d057,2022-07-11 00:00:00,2
135efcb2,2022-07-11 00:00:00,2
b9d6d6e8,2022-07-11 00:00:00,3
2a472325,2022-07-11 00:00:00,1
d04bc86a,2022-07-11 00:00:00,2
a0a3f59c,2022-07-11 00:00:00,3
a6ce74b2,2022-07-11 00:00:00,12
31c36848,2022-07-11 00:00:00,58
1eedbaca,2022-07-11 00:00:00,4
d1498322,2022-07-11 00:00:00,8
e3fe6f63,2022-07-11 00:00:00,12
d7fc67c4,2022-07-11 00:00:00,24
b3db2c7c,2022-07-11 00:00:00,1
cdcf6745,2022-07-11 00:00:00,1
6f8a2e2b,2022-07-11 00:00:00,104
2e853af9,2022-07-11 00:00:00,10
bce7ab52,2022-07-11 00:00:00,1
97404f40,2022-07-11 00:00:00,2
e0a3aba9,2022-07-11 00:00:00,5
c1a4fa50,2022-07-11 00:00:00,1
b9baf8d0,2022-07-11 00:00:00,2
40bbd687,2022-07-11 00:00:00,9
06a50bc8,2022-07-11 00:00:00,3
9c5063a9,2022-07-11 00:00:00,11
340bf1fc,2022-07-11 00:00:00,4
9c25227c,2022-07-11 00:00:00,1
9c8d758d,2022-07-11 00:00:00,2
d007da36,2022-07-11 00:00:00,165
05d9d127,2022-07-11 00:00:00,38
9f17f370,2022-07-11 00:00:00,28
7314c0af,2022-07-11 00:00:00,2
929182c0,2022-07-11 00:00:00,1
3a7b134c,2022-07-11 00:00:00,
dd47dd62,2022-07-11 00:00:00,
906b5f3f,2022-07-11 00:00:00,
bc136e57,2022-07-11 00:00:00,2
237c4f7d,2022-07-11 00:00:00,2
03fe1de4,2022-07-11 00:00:00,2
6a784c54,2022-07-11 00:00:00,3
6c920937,2022-07-11 00:00:00,7
77d92757,2022-07-11 00:00:00,1
96cd7e3b,2022-07-11 00:00:00,
37ab4873,2022-07-11 00:00:00,4
26201156,2022-07-11 00:00:00,2
e0f3efaa,2022-07-11 00:00:00,3
2163d9c0,2022-07-11 00:00:00,2
67fe4d90,2022-07-11 00:00:00,9
d8f40e8d,2022-07-11 00:00:00,17
457be543,2022-07-11 00:00:00,1
468b5dd6,2022-07-11 00:00:00,5
2a064c3e,2022-07-11 00:00:00,1
524e6073,2022-07-11 00:00:00,
e37adcc9,2022-07-11 00:00:00,1
f5abf28a,2022-07-11 00:00:00,2
8f4dfafc,2022-07-11 00:00:00,2
e66a07ee,2022-07-11 00:00:00,2
e3f8ad18,2022-07-11 00:00:00,
e5be6a7f,2022-07-11 00:00:00,1
28b2901a,2022-07-11 00:00:00,2
e37e9a27,2022-07-11 00:00:00,13
60e79d23,2022-07-11 00:00:00,14
0dbcda9e,2022-07-11 00:00:00,1
53cb60c8,2022-07-11 00:00:00,1
b9923621,2022-07-11 00:00:00,2
ca2b2adb,2022-07-11 00:00:00,1
2794a9b8,2022-07-11 00:00:00,7
a2628e35,2022-07-11 00:00:00,9
78e18547,2022-07-11 00:00:00,1
43b87552,2022-07-11 00:00:00,
